nepochs,accuracy,loss
1,9.990802943058222,2.3037524786196837
2,9.920825335892514,2.302765604783081
3,10.178742802303264,2.302652475853723
4,9.944817658349328,2.3026650597175116
5,10.098768394113884,2.302520241709909
6,10.688579654510557,2.3022478406275226
7,13.04782469609725,2.299631789946358
8,18.97392834293026,2.1555359622109647
9,25.719769673704416,1.9076496275738883
10,30.072376839411387,1.7972205793407585
11,34.74888035828535,1.7069149655710025
12,38.8335732565579,1.6245839319698947
13,42.23048624440179,1.5539447171369274
14,44.52975047984645,1.4960412676335906
15,47.69073896353167,1.4272338100068476
16,50.79974408189379,1.3542532773637193
17,53.047024952015356,1.2951957731390336
18,55.58821177223289,1.2398550841797642
19,57.98744401791427,1.18057100737011
20,60.12076135636596,1.1277881397014236
21,61.886196417146515,1.0870705721131213
22,63.66962571976968,1.0400666196759665
23,64.99920025591811,0.9955648757560239
24,67.1845009596929,0.9502820686811982
25,68.58605246321177,0.9140573900362199
26,69.62571976967371,0.8821218978191749
27,70.6633877159309,0.8527727850873121
28,72.49080294305823,0.8087337825135092
29,73.2145713371721,0.7836315295899136
30,74.71209213051823,0.7497841476517004
31,75.42386436340371,0.7253494477584739
32,76.44553742802303,0.694278365238233
33,77.77511196417146,0.6652207097809664
34,78.5368682021753,0.6383885645610891
35,79.58853166986565,0.6086520544817565
36,80.35428662827896,0.585898130293161
37,81.42194497760717,0.5577507338326326
38,82.07973448496482,0.5336558756276116
39,83.1114043506078,0.5085362231052616
40,83.83317338451695,0.4815853472157922
41,84.51895393474088,0.4651073931894543
42,85.3486884197057,0.439378082528186
43,86.25839731285988,0.41434437059395146
44,86.87619961612285,0.39698675117543014
45,87.54998400511836,0.3714179194848734
46,88.14779270633397,0.3528783675080603
47,89.00951695457454,0.3341897380152766
48,89.56733845169546,0.3143089825915493
49,90.09516954574536,0.29898018165898493
50,90.78494881637876,0.2800826733837754
51,91.1528310940499,0.26594518274259504
52,91.74464171465131,0.24758645608992585
53,92.07653550863724,0.23869373638395003
54,92.66434740882917,0.21978738436967574
55,93.170185540627,0.21063038159188024
56,93.36012476007677,0.1982255246089825
57,93.8139795265515,0.18991508293403545
58,94.01391554702495,0.1808055966902734
59,94.59373000639795,0.16241570731287708
60,94.74568138195778,0.1615060390916463
61,95.0135956493922,0.15283081440197843
62,95.37947856685861,0.14504791386467206
63,95.46944977607166,0.1359017269158681
64,95.7793506078055,0.13223649731060216
65,96.1272392834293,0.11736113990472911
66,96.51911388355727,0.10949199463225012
67,96.5730966090851,0.10971825773010217
68,96.33317338451695,0.11652389322663761
69,96.7070537428023,0.10436137841029185
70,96.94697696737045,0.09457759078432969
71,97.00695777351248,0.09436954639133147
72,97.14691298784389,0.08833553385094073
73,97.30686180422265,0.08745786077776413
74,97.76271593090212,0.07153539193809921
75,97.72672744721689,0.07292974644465294
76,97.40083173384517,0.08578732555619067
77,97.72872680742162,0.0733059236791875
78,97.81469929622521,0.07178056452519267
79,97.84269033909149,0.06937571648687514
80,97.95665387076136,0.06609873027931569
81,97.98664427383237,0.06672513293943956
82,97.94865642994242,0.0709195392337325
83,98.0986084452975,0.06332884417964928
84,98.28254958413308,0.05766145427986072
85,98.41250799744081,0.05131635549181422
86,98.58645233525272,0.048625434416755195
87,98.62444017914268,0.04726373531261798
88,98.53446896992962,0.04761889278467786
89,98.65243122200896,0.04641238076918046
90,98.73440499040306,0.04420306334798503
91,98.5444657709533,0.045996056034725036
92,98.388515674984,0.055434003081614384
93,98.7364043506078,0.041833055355547454
94,98.55846129238644,0.04740844497655678
95,98.84237044145873,0.040894822905290576
96,98.5444657709533,0.04813546165793399
97,99.09828854766475,0.031120122165956048
98,98.80838131797825,0.03804550280980592
99,98.8463691618682,0.03732929552384502
